"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","arch_vgpr","accum_vgpr","sgpr","wave_size","sig","obj","FetchSize","WriteSize","TCC_HIT[0]","TCC_MISS[0]","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
46,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",2,0,132,4124249,4124249,134217728,256,0,0,20,20,32,64,"0x0","0x7fcdda2618c0",1702480,1039040.0625,1766407,1371374,1616924689395721,1616924690015593,1616924692948554,1616924693027689,2932961
47,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",2,0,135,4124249,4124249,134217728,256,0,0,20,20,32,64,"0x0","0x7fcdda2618c0",1706776.9375,1039006.5625,1765311,1372468,1616924693051884,1616924693651994,1616924696600154,1616924696679785,2948160
48,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",2,0,138,4124249,4124249,134217728,256,0,0,20,20,32,64,"0x0","0x7fcdda2618c0",1704700.0625,1039022.5625,1766218,1371518,1616924696703339,1616924697288114,1616924700238194,1616924700317094,2950080
49,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",2,0,141,4124249,4124249,134217728,256,0,0,20,20,32,64,"0x0","0x7fcdda2618c0",1704288.25,1039027.375,1766854,1370955,1616924700346349,1616924700951035,1616924703891195,1616924703969019,2940160
50,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",2,0,144,4124249,4124249,134217728,256,0,0,20,20,32,64,"0x0","0x7fcdda2618c0",1699032,1039024.0625,1767849,1369946,1616924703989117,1616924704612395,1616924707550315,1616924707628098,2937920
51,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",2,0,147,4124249,4124249,134217728,256,0,0,20,20,32,64,"0x0","0x7fcdda2618c0",1696967.125,1038976.6875,1764715,1373101,1616924707650720,1616924708254395,1616924711201596,1616924711281267,2947201
52,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",2,0,150,4124249,4124249,134217728,256,0,0,20,20,32,64,"0x0","0x7fcdda2618c0",1697495.625,1039017.1875,1767652,1370116,1616924711303869,1616924711896836,1616924714827076,1616924714906482,2930240
53,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",2,0,153,4124249,4124249,134217728,256,0,0,20,20,32,64,"0x0","0x7fcdda2618c0",1705014,1038983.875,1765916,1371839,1616924714929195,1616924715525076,1616924718479316,1616924718559300,2954240
54,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",2,0,156,4124249,4124249,134217728,256,0,0,20,20,32,64,"0x0","0x7fcdda2618c0",1703729.75,1039030.25,1765788,1372037,1616924718589386,1616924719193197,1616924722143277,1616924722145403,2950080
55,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",2,0,159,4124249,4124249,134217728,256,0,0,20,20,32,64,"0x0","0x7fcdda2618c0",1696407,1039023.75,1767517,1370240,1616924722453006,1616924722858477,1616924725795117,1616924725874994,2936640
56,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",2,0,162,4124249,4124249,134217728,256,0,0,20,20,32,64,"0x0","0x7fcdda2618c0",1698830.8125,1039013.8125,1767515,1370209,1616924725896343,1616924726509265,1616924729450865,1616924729539743,2941600
57,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",2,0,165,4124249,4124249,134217728,256,0,0,20,20,32,64,"0x0","0x7fcdda2618c0",1702608.875,1039025.5,1768361,1369434,1616924729567235,1616924730163065,1616924733101785,1616924733180809,2938720
58,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",2,0,168,4124249,4124249,134217728,256,0,0,20,20,32,64,"0x0","0x7fcdda2618c0",1700243.875,1039039.71875,1764296,1373467,1616924733204022,1616924733799185,1616924736737265,1616924736817686,2938080
59,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",2,0,171,4124249,4124249,134217728,256,0,0,20,20,32,64,"0x0","0x7fcdda2618c0",1702802.5625,1039013.625,1767281,1370442,1616924736847412,1616924737457425,1616924740410065,1616924740487225,2952640
60,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",2,0,174,4124249,4124249,134217728,256,0,0,20,20,32,64,"0x0","0x7fcdda2618c0",1697867.9375,1039033.4375,1767985,1369766,1616924740509236,1616924741118785,1616924744065026,1616924744144380,2946241
61,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",2,0,177,4124249,4124249,134217728,256,0,0,20,20,32,64,"0x0","0x7fcdda2618c0",1708490.9375,1039015.75,1764638,1373102,1616924744165419,1616924744773146,1616924747713626,1616924747791267,2940480
62,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",2,0,180,4124249,4124249,134217728,256,0,0,20,20,32,64,"0x0","0x7fcdda2618c0",1700688.875,1039023.375,1769306,1368479,1616924747814841,1616924748416786,1616924751359506,1616924751438544,2942720
63,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",2,0,183,4124249,4124249,134217728,256,0,0,20,20,32,64,"0x0","0x7fcdda2618c0",1699398.1875,1039041.6875,1767828,1369962,1616924751462258,1616924752085986,1616924755029827,1616924755031990,2943841
64,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",2,0,186,4124249,4124249,134217728,256,0,0,20,20,32,64,"0x0","0x7fcdda2618c0",1700319.25,1039037,1767137,1370655,1616924755324445,1616924755731747,1616924758671267,1616924758751893,2939520
65,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",2,0,189,4124249,4124249,134217728,256,0,0,20,20,32,64,"0x0","0x7fcdda2618c0",1700904.4375,1039007.5,1768288,1369494,1616924758772141,1616924759388467,1616924762340947,1616924762420089,2952480
